"Supplementary Table 1. Data on individual collared flycatcher song repertoires recorded in the Pilis Mountains, Hungary. The table contains information on the year a given recording was made (year), the song recordings' ID (recID), the individuals' ring number (ring) and the universally decoded syllable type IDs (univ_syll_types) that make it available to compare repertoires within- and between-individuals. Where the ring numbers are not available, distinction between individual repertoires can be made with the help of the recordings' ID.",,,,,,,
,,,,,,,
,,,,,,,
year,recID,ring,univ_syll_type,,,,
2000,2000_15,L65861,859,,,,
2000,2000_15,L65861,494,,,,
2000,2000_15,L65861,1739,,,,
2000,2000_15,L65861,919,,,,
2000,2000_15,L65861,1530,,,,
2000,2000_15,L65861,2024,,,,
2000,2000_15,L65861,772,,,,
2000,2000_15,L65861,1846,,,,
2000,2000_15,L65861,772,,,,
2000,2000_15,L65861,2057,,,,
2000,2000_15,L65861,2064,,,,
2000,2000_15,L65861,1530,,,,
2000,2000_15,L65861,1530,,,,
2000,2000_15,L65861,116,,,,
2000,2000_15,L65861,772,,,,
2000,2000_15,L65861,1747,,,,
2000,2000_15,L65861,772,,,,
2000,2000_15,L65861,116,,,,
2000,2000_15,L65861,772,,,,
2000,2000_15,L65861,1042,,,,
2000,2000_15,L65861,399,,,,
2000,2000_15,L65861,1915,,,,
2000,2000_15,L65861,1460,,,,
2000,2000_15,L65861,859,,,,
2000,2000_15,L65861,772,,,,
2000,2000_15,L65861,493,,,,
2000,2000_15,L65861,2057,,,,
2000,2000_15,L65861,2024,,,,
2000,2000_15,L65861,399,,,,
2000,2000_15,L65861,143,,,,
2000,2000_15,L65861,2398,,,,
2000,2000_15,L65861,2329,,,,
2000,2000_15,L65861,1259,,,,
2000,2000_15,L65861,78,,,,
2000,2000_15,L65861,1846,,,,
2000,2000_15,L65861,2057,,,,
2000,2000_15,L65861,997,,,,
2000,2000_15,L65861,1042,,,,
2000,2000_15,L65861,2024,,,,
2000,2000_15,L65861,1190,,,,
2000,2000_15,L65861,399,,,,
2000,2000_15,L65861,466,,,,
2000,2000_15,L65861,2155,,,,
2000,2000_15,L65861,2155,,,,
2000,2000_15,L65861,2398,,,,
2000,2000_15,L65861,1460,,,,
2000,2000_15,L65861,1460,,,,
2000,2000_15,L65861,1259,,,,
2000,2000_15,L65861,1190,,,,
2000,2000_15,L65861,494,,,,
2000,2000_15,L65861,1524,,,,
2000,2000_15,L65861,1460,,,,
2000,2000_15,L65861,399,,,,
2000,2000_15,L65861,116,,,,
2000,2000_15,L65861,859,,,,
2000,2000_15,L65861,772,,,,
2000,2000_15,L65861,871,,,,
2000,2000_15,L65861,772,,,,
2000,2000_15,L65861,1743,,,,
2000,2000_15,L65861,859,,,,
2000,2000_15,L65861,1743,,,,
2000,2000_15,L65861,2064,,,,
2000,2000_15,L65861,116,,,,
2000,2000_15,L65861,1460,,,,
2000,2000_15,L65861,2155,,,,
2000,2000_15,L65861,143,,,,
2000,2000_15,L65861,859,,,,
2000,2000_15,L65861,1482,,,,
2000,2000_15,L65861,1530,,,,
2000,2000_15,L65861,1203,,,,
2000,2000_15,L65861,27,,,,
2000,2000_15,L65861,1042,,,,
2000,2000_15,L65861,772,,,,
2000,2000_15,L65861,1460,,,,
2000,2000_15,L65861,493,,,,
2000,2000_15,L65861,2081,,,,
2000,2000_15,L65861,1177,,,,
2000,2000_15,L65861,859,,,,
